to	from	weight
LCP05531_SLR74	ESE00019_s00028	0.5740740740740741
LCP05531_SLR74	LCP06093_SLR86	0.5531914893617021
ESE00418_SLR34	LCP05531_SLR66	0.40186915887850466
ESE00019_s00037	LCP06093_s01874	0.9635036496350365
LCP05531_SLR63	ESE01543_SLR51	0.404
LCP05531_SLR63	ESE00019_SLR14	0.6022494887525562
LCP05531_SLR63	LCP06093_SLR78	0.44105263157894736
LCP05531_SLR63	ESE00418_SLR38	0.38415245737211634
LCP06093_s01882	ESE01543_SLR56	0.45185185185185184
LCP06093_s01882	LCP05531_s01802	0.5658362989323843
LCP06093_s01882	ESE00019_SLR3	0.401673640167364
LCP06093_s01882	ESE00019_SLR8	0.32644628099173556
ESE01567_s01133	ESE00019_s00033	0.9302325581395349
ESE01567_s01133	LCP05531_SLR71	0.9302325581395349
ESE01567_s01133	ESE01261_s00804	0.9302325581395349
ESE01567_s01133	LCP6622_s01953	0.9302325581395349
ESE01567_s01133	ESE00139_s00245	0.8880597014925373
ESE01567_s01133	ESE01587_s01161	0.8880597014925373
ESE01567_s01133	ESE01617_s01276	0.8880597014925373
ESE01567_s01133	ESE00125_s00183	0.8955223880597015
ESE01567_s01133	ESE00960_s00681	0.8955223880597015
ESE01567_s01133	ESE01393_s00869	0.8955223880597015
ESE01567_s01133	ESE01417_s00945	0.8955223880597015
ESE01567_s01133	ESE01521_s01009	0.8955223880597015
ESE01567_s01133	ESE01592_s01222	0.8955223880597015
ESE01567_s01133	ESE01619_s01300	0.8955223880597015
ESE01567_s01133	ESE01653_s01348	0.8955223880597015
ESE01567_s01133	ESE01892_s01423	0.8955223880597015
ESE01567_s01133	LCP5496_s01742	0.8955223880597015
ESE01567_s01133	ESE00553_s00638	0.8695652173913043
ESE01567_s01133	ESE01527_s01054	0.8695652173913043
ESE01567_s01133	ESE01696_s01387	0.8695652173913043
ESE01567_s01133	ESE00018_s00006	0.8880597014925373
ESE01567_s01133	ESE01535_s01072	0.8814814814814815
