sampleID	cluster1	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster2	cluster20	cluster21	cluster22	cluster23	cluster24	cluster25	cluster26	cluster27	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9
ESE00018	0.992286	0.636667	0.785667	0.982500	0.994833	0.364200	0.954000	0.999750	0.321250	0.736333	0.090000	0.051323	0.999000	0.677500	0.169000	0.998500	1.000000	0.578000	0.138000	0.240500	0.058917	0.986400	0.304111	0.901500	0.989625	0.882714	0.629000
ESE00019	0.956286	0.667667	0.682667	0.977000	0.996167	0.999800	0.861250	0.991500	0.305750	0.974667	0.100000	0.051258	0.418000	0.991500	0.177500	0.653000	1.000000	0.018000	0.104000	0.280500	0.274083	0.988500	0.813333	0.931750	0.902375	0.985714	0.764333
ESE00023	0.996657	0.942833	0.862333	0.983333	0.993167	0.857000	0.981500	0.981750	0.248000	0.746667	0.097000	0.051065	0.653000	0.784000	0.188500	0.980000	0.993000	0.448000	0.144000	0.294500	0.321083	0.964400	0.936111	0.828750	0.783375	0.918000	0.823833
ESE00079	0.220086	0.256667	0.498667	0.591833	0.392667	0.327200	0.759250	0.817000	0.928500	0.941667	0.085000	0.033452	0.283500	0.541000	0.941500	0.519500	0.799000	0.050000	0.996000	0.379000	0.943667	0.163900	0.322444	0.368750	0.209125	0.650000	0.569167
ESE00086	0.997543	0.432333	0.769333	0.985000	0.999500	0.969600	0.732250	0.995500	0.389000	0.652000	1.000000	0.031161	0.405000	0.649500	0.183000	0.555500	0.765000	0.024500	0.142500	0.252000	0.302667	0.163700	0.780556	0.869875	0.891625	0.361143	0.600000
ESE00087	0.955086	0.807000	0.947167	0.748000	0.973667	0.360800	0.923000	0.944250	0.431750	0.760000	0.117000	0.994419	0.951500	0.720500	0.153000	0.635000	0.609000	0.332500	0.140000	0.218000	0.051583	0.993500	0.262111	0.905625	0.913500	0.979429	0.958167
ESE00089	0.954543	0.808167	0.971167	0.984167	0.995000	0.362800	0.981250	0.999500	0.439500	0.779000	0.118000	0.994419	0.998500	0.821000	0.173500	0.666000	0.768000	0.374500	0.141000	0.222500	0.057500	0.993900	0.272222	0.909125	0.925375	0.995000	0.970500
ESE00090	0.199171	0.032833	0.240333	0.361000	0.242500	0.196600	0.300750	0.680500	0.010500	0.138000	0.089000	0.019290	0.181500	0.451500	0.857000	0.069000	0.777500	0.004000	0.106000	0.044500	0.918167	0.076000	0.184222	0.077375	0.110375	0.081143	0.259667
ESE00095	0.992400	0.626667	0.925667	0.956833	0.991167	0.387800	0.820000	0.998500	0.314500	0.671333	0.091000	0.051452	0.965000	0.467000	0.167000	0.998500	0.986000	0.548000	0.136000	0.277500	0.308083	0.961900	0.831667	0.898875	0.763125	0.844429	0.584000
ESE00125	0.992371	0.638333	0.794000	0.983500	0.995500	0.362600	0.981250	0.999500	0.390250	0.713667	0.091000	0.055935	0.999000	0.747000	0.170500	0.998500	1.000000	0.583000	0.139000	0.282000	0.309750	0.962200	0.833333	0.862125	0.989500	0.890857	0.735167
