sampleID	ESE00019_s00022	ESE00090_SLR20	ESE00090_SLR22	ESE00090_s00154	ESE00418_SLR27	ESE00418_s00613	ESE00418_s00620	ESE01435_s00969	ESE01521_s01016	LCP05531_SLR60	LCP05531_SLR75	LCP05531_s01799	LCP3239_s01654	cluster1	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster2	cluster20	cluster21	cluster22	cluster23	cluster24	cluster25	cluster26	cluster27	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9
ESE00018	0.482000	0.807000	0.867000	0.626000	1.000000	0.658000	0.998000	0.330000	0.186000	1.000000	0.348000	0.550000	0.264000	0.992286	0.636667	0.785667	0.982500	0.994833	0.364200	0.954000	0.999750	0.321250	0.736333	0.090000	0.051323	0.999000	0.677500	0.169000	0.998500	1.000000	0.578000	0.138000	0.240500	0.058917	0.986400	0.304111	0.901500	0.989625	0.882714	0.629000
ESE00019	1.000000	0.795000	0.864000	0.540000	0.972000	0.707000	0.999000	0.313000	0.278000	0.999000	0.491000	0.367000	0.208000	0.956286	0.667667	0.682667	0.977000	0.996167	0.999800	0.861250	0.991500	0.305750	0.974667	0.100000	0.051258	0.418000	0.991500	0.177500	0.653000	1.000000	0.018000	0.104000	0.280500	0.274083	0.988500	0.813333	0.931750	0.902375	0.985714	0.764333
ESE00023	0.911000	0.772000	0.826000	0.577000	1.000000	1.000000	1.000000	0.374000	0.185000	1.000000	0.519000	0.330000	0.189000	0.996657	0.942833	0.862333	0.983333	0.993167	0.857000	0.981500	0.981750	0.248000	0.746667	0.097000	0.051065	0.653000	0.784000	0.188500	0.980000	0.993000	0.448000	0.144000	0.294500	0.321083	0.964400	0.936111	0.828750	0.783375	0.918000	0.823833
ESE00079	0.506000	0.868000	0.988000	0.987000	0.714000	0.132000	0.977000	0.351000	0.161000	0.677000	0.443000	0.312000	0.991000	0.220086	0.256667	0.498667	0.591833	0.392667	0.327200	0.759250	0.817000	0.928500	0.941667	0.085000	0.033452	0.283500	0.541000	0.941500	0.519500	0.799000	0.050000	0.996000	0.379000	0.943667	0.163900	0.322444	0.368750	0.209125	0.650000	0.569167
ESE00086	0.483000	0.604000	0.853000	0.699000	1.000000	0.674000	1.000000	0.282000	0.154000	1.000000	0.371000	0.274000	0.236000	0.997543	0.432333	0.769333	0.985000	0.999500	0.969600	0.732250	0.995500	0.389000	0.652000	1.000000	0.031161	0.405000	0.649500	0.183000	0.555500	0.765000	0.024500	0.142500	0.252000	0.302667	0.163700	0.780556	0.869875	0.891625	0.361143	0.600000
ESE00087	1.000000	0.689000	0.709000	0.493000	0.962000	0.656000	0.988000	0.313000	0.295000	0.993000	0.570000	0.390000	0.220000	0.955086	0.807000	0.947167	0.748000	0.973667	0.360800	0.923000	0.944250	0.431750	0.760000	0.117000	0.994419	0.951500	0.720500	0.153000	0.635000	0.609000	0.332500	0.140000	0.218000	0.051583	0.993500	0.262111	0.905625	0.913500	0.979429	0.958167
ESE00089	1.000000	0.788000	0.843000	0.584000	1.000000	0.667000	0.996000	0.322000	0.295000	0.997000	0.594000	0.395000	0.241000	0.954543	0.808167	0.971167	0.984167	0.995000	0.362800	0.981250	0.999500	0.439500	0.779000	0.118000	0.994419	0.998500	0.821000	0.173500	0.666000	0.768000	0.374500	0.141000	0.222500	0.057500	0.993900	0.272222	0.909125	0.925375	0.995000	0.970500
ESE00090	0.052000	0.965000	0.950000	0.986000	0.690000	0.096000	0.983000	0.107000	0.097000	0.481000	0.163000	0.062000	0.092000	0.199171	0.032833	0.240333	0.361000	0.242500	0.196600	0.300750	0.680500	0.010500	0.138000	0.089000	0.019290	0.181500	0.451500	0.857000	0.069000	0.777500	0.004000	0.106000	0.044500	0.918167	0.076000	0.184222	0.077375	0.110375	0.081143	0.259667
ESE00095	0.356000	0.775000	0.804000	0.564000	1.000000	0.666000	0.999000	0.273000	0.156000	1.000000	0.356000	0.228000	0.147000	0.992400	0.626667	0.925667	0.956833	0.991167	0.387800	0.820000	0.998500	0.314500	0.671333	0.091000	0.051452	0.965000	0.467000	0.167000	0.998500	0.986000	0.548000	0.136000	0.277500	0.308083	0.961900	0.831667	0.898875	0.763125	0.844429	0.584000
ESE00120-1	1.000000	0.727000	0.770000	0.480000	0.904000	0.702000	0.999000	0.317000	0.280000	0.991000	0.521000	0.368000	0.199000	0.955486	0.779833	0.659833	0.965333	0.994833	0.999800	0.860500	0.985250	0.294250	0.971333	0.102000	0.051097	0.407500	0.887000	0.175500	0.653000	0.989500	0.017000	0.108500	0.289500	0.275500	0.988900	0.811778	0.920125	0.901875	0.974714	0.759333
ESE00125	0.492000	0.812000	0.870000	0.630000	1.000000	0.666000	0.998000	0.346000	1.000000	1.000000	0.372000	0.325000	0.223000	0.992371	0.638333	0.794000	0.983500	0.995500	0.362600	0.981250	0.999500	0.390250	0.713667	0.091000	0.055935	0.999000	0.747000	0.170500	0.998500	1.000000	0.583000	0.139000	0.282000	0.309750	0.962200	0.833333	0.862125	0.989500	0.890857	0.735167
ESE00126	0.430000	0.823000	0.876000	0.628000	1.000000	0.676000	0.998000	0.576000	0.163000	1.000000	0.448000	0.256000	0.342000	0.997486	0.887000	0.903167	0.864500	1.000000	0.930000	0.982250	0.991500	0.321500	1.000000	0.091000	1.000000	0.633500	0.648000	0.179000	0.631000	0.774000	0.459000	0.140000	0.250000	0.060167	0.986200	0.345889	0.823000	0.749250	0.944857	0.606667
ESE00137	0.434000	0.818000	0.870000	0.593000	0.990000	0.634000	0.998000	0.948000	0.166000	1.000000	0.435000	0.284000	0.195000	0.991829	0.767833	0.835333	0.789167	0.998000	0.373200	0.627500	1.000000	0.327000	0.974333	0.083000	0.033839	0.962500	0.630500	0.171500	0.568000	1.000000	0.267500	0.142000	0.185000	0.079333	0.212700	0.248000	0.892500	0.996250	0.423000	0.569500
