sort_order,md5,label,name,filename,signature_file
1,6b23091a6f616c0e36cd44635c3e3097,ESE00019_SLR1,ESE00019_SLR1,stargraph.SLRs.fa,stargraph.SLRs.sig
2,0b8a80ce761a4ce27b6b2644d1d1ed0c,ESE00019_SLR2,ESE00019_SLR2,stargraph.SLRs.fa,stargraph.SLRs.sig
3,0256665d499cb1af080acb8042ada853,ESE00019_SLR3,ESE00019_SLR3,stargraph.SLRs.fa,stargraph.SLRs.sig
4,111048c68885b0697f2e7bcb9005a046,ESE00019_SLR4,ESE00019_SLR4,stargraph.SLRs.fa,stargraph.SLRs.sig
5,a47014c7f3ebac83eee408f644aee332,ESE00019_SLR5,ESE00019_SLR5,stargraph.SLRs.fa,stargraph.SLRs.sig
6,c0a5497db88910e8bfde9e72394445ee,ESE00019_SLR6,ESE00019_SLR6,stargraph.SLRs.fa,stargraph.SLRs.sig
7,707db791f5365b7cc6a8181b6b32f3bf,ESE00019_SLR7,ESE00019_SLR7,stargraph.SLRs.fa,stargraph.SLRs.sig
8,20b2d9739762ec537da45804a0114b81,ESE00019_SLR8,ESE00019_SLR8,stargraph.SLRs.fa,stargraph.SLRs.sig
9,5c78b16632ec014cf8c4fcc052e05edb,ESE00019_SLR9,ESE00019_SLR9,stargraph.SLRs.fa,stargraph.SLRs.sig
10,73cc462378dc78904ec848777968f325,ESE00019_SLR10,ESE00019_SLR10,stargraph.SLRs.fa,stargraph.SLRs.sig
11,cec62575a3701f317a5a4f71b779b6ef,ESE00019_SLR11,ESE00019_SLR11,stargraph.SLRs.fa,stargraph.SLRs.sig
12,3bc5c96bf2915180e9d7dd7ece31eae3,ESE00019_SLR12,ESE00019_SLR12,stargraph.SLRs.fa,stargraph.SLRs.sig
13,5049736ba97bf9f65881c820de2f1769,ESE00019_SLR13,ESE00019_SLR13,stargraph.SLRs.fa,stargraph.SLRs.sig
14,b6d9deb9cea8be9c71042951b3934106,ESE00019_SLR14,ESE00019_SLR14,stargraph.SLRs.fa,stargraph.SLRs.sig
15,0b05e88aa23537b72a01d6a98aef4a63,ESE00019_SLR15,ESE00019_SLR15,stargraph.SLRs.fa,stargraph.SLRs.sig
16,c45e20d53976f45cfca2be1688b74bee,ESE00019_SLR16,ESE00019_SLR16,stargraph.SLRs.fa,stargraph.SLRs.sig
17,01d3827de16515b9802b7404a605aace,ESE00019_SLR17,ESE00019_SLR17,stargraph.SLRs.fa,stargraph.SLRs.sig
18,8e1252334f9b6a74e4365300804bba42,ESE00019_SLR18,ESE00019_SLR18,stargraph.SLRs.fa,stargraph.SLRs.sig
19,71e5d2f8536dd874b5f8b63803ce79ff,ESE00019_SLR19,ESE00019_SLR19,stargraph.SLRs.fa,stargraph.SLRs.sig
20,588b82c19a4de712e498bdf33877ead5,ESE00090_SLR20,ESE00090_SLR20,stargraph.SLRs.fa,stargraph.SLRs.sig
21,b0065d9602600ffc802221b5b0362ed7,ESE00090_SLR21,ESE00090_SLR21,stargraph.SLRs.fa,stargraph.SLRs.sig
22,4ac885054369a152d4d94e5f12f9a009,ESE00090_SLR22,ESE00090_SLR22,stargraph.SLRs.fa,stargraph.SLRs.sig
23,02dea1e0d0d649d892f8b234d21b9059,ESE00418_SLR23,ESE00418_SLR23,stargraph.SLRs.fa,stargraph.SLRs.sig
24,0873d93879ec1769642f4b2eb99da43c,ESE00418_SLR24,ESE00418_SLR24,stargraph.SLRs.fa,stargraph.SLRs.sig
25,0c7803a99956be4f5bf8fa113605dc5c,ESE00418_SLR25,ESE00418_SLR25,stargraph.SLRs.fa,stargraph.SLRs.sig
