contig	start	end	SLR
ESE00019_contig1	5254000	5582000	ESE00019_SLR1
ESE00019_contig9	1	771560	ESE00019_SLR19
ESE00418_contig16	1165000	2861000	ESE00418_SLR24
ESE00418_contig16	902000	1221000	ESE00418_SLR27
ESE00418_contig20	2420000	2814233	ESE00418_SLR31
ESE00418_contig3	3085000	3382129	ESE00418_SLR34
ESE00418_contig34	5046000	5333000	ESE00418_SLR37
ESE01543_contig16	1	734582	ESE01543_SLR45
ESE01543_contig22	2490000	2741506	ESE01543_SLR50
ESE01543_contig3	1	111000	ESE01543_SLR53
ESE01543_contig3	292000	713231	ESE01543_SLR54
LCP05531_contig2	1	333000	LCP05531_SLR66
LCP05531_contig4	5788000	6041000	LCP05531_SLR73
LCP06093_contig1	1166000	1357000	LCP06093_SLR79
LCP06093_contig4	2746000	3637881	LCP06093_SLR88
