strain	count	sum_length	mean_length	max_length
ESE00019	54	7571427	140212	766560
ESE00090	45	4429377	98430.6	252000
ESE00418	77	9390624	121956	1546000
ESE01543	57	7045567	123606	734581
LCP05531	53	8088034	152604	901505
LCP06093	52	5535857	106459	816881
