element	contig	start	end	cluster
ESE00018_s00006	ESE00018_contig37	13802	124283	cluster1
ESE00019_s00021	ESE00019_contig1	5371325	5485282	cluster8
ESE00019_s00028	ESE00019_contig3	4169110	4264713	cluster18
ESE00019_s00033	ESE00019_contig5	506505	612135	cluster1
ESE00019_s00037	ESE00019_contig6	1247869	1408002	cluster10
ESE00086_s00090	ESE00086_contig43	194680	270374	cluster19
ESE00086_s00092	ESE00086_contig49	134750	209382	cluster5
ESE00087_s00109	ESE00087_contig98	44195	65150	cluster2
ESE00089_s00138	ESE00089_contig88	43634	64589	cluster2
ESE00090_s00155	ESE00090_contig2	8931950	8992966	cluster3
ESE00090_s00157	ESE00090_contig5	2285296	2385081	cluster22
ESE00125_s00183	ESE00125_contig49	26521	136473	cluster1
ESE00126_s00214	ESE00126_contig93	33668	54915	cluster2
ESE00139_s00245	ESE00139_contig3	318552	428474	cluster1
ESE00151_s00266	ESE00151_contig106	36861	57816	cluster2
ESE00155_s00304	ESE00155_contig50	107368	168466	cluster3
ESE00156_s00317	ESE00156_contig109	37191	58146	cluster2
ESE00157_s00340	ESE00157_contig106	36990	57945	cluster2
ESE00158_s00361	ESE00158_contig101	41094	62049	cluster2
ESE00160_s00396	ESE00160_contig127	43478	64433	cluster2
ESE00207_s00416	ESE00207_contig109	54540	75495	cluster2
ESE00211_s00437	ESE00211_contig111	36207	57162	cluster2
ESE00230_s00456	ESE00230_contig117	24207	94748	cluster14
ESE00231_s00482	ESE00231_contig112	4330	75339	cluster14
ESE00282_s00519	ESE00282_contig52	132939	153894	cluster2
ESE00283_s00547	ESE00283_contig124	36649	57896	cluster2
ESE00418_s00606	ESE00418_contig16	1011172	1142006	cluster15
ESE00418_s00607	ESE00418_contig16	1263347	1377213	cluster8
ESE00418_s00610	ESE00418_contig16	3262711	3376888	cluster7
ESE00418_s00614	ESE00418_contig20	2240150	2391940	cluster1
ESE00418_s00615	ESE00418_contig20	2241219	2391940	cluster1
ESE00418_s00621	ESE00418_contig34	5178880	5252439	cluster23
ESE00553_s00638	ESE00553_contig51	18035	132004	cluster1
ESE00958_s00670	ESE00958_contig10	447676	539110	cluster5
ESE00958_s00677	ESE00958_contig65	113390	174554	cluster3
ESE00960_s00681	ESE00960_contig1	52901	163131	cluster1
ESE00960_s00693	ESE00960_contig87	41216	62463	cluster2
ESE00961_s00707	ESE00961_contig57	1268	209071	cluster17
ESE00961_s00711	ESE00961_contig94	22273	83295	cluster3
ESE00993_s00753	ESE00993_contig93	16445	37400	cluster2
ESE01218_s00785	ESE01218_contig18	275536	405243	cluster1
ESE01261_s00804	ESE01261_contig16	210109	314359	cluster1
ESE01261_s00814	ESE01261_contig116	4330	74918	cluster14
ESE01262_s00834	ESE01262_contig93	36223	57178	cluster2
ESE01393_s00869	ESE01393_contig4	189894	300475	cluster1
ESE01400_s00920	ESE01400_contig112	59197	82783	cluster13
ESE01417_s00945	ESE01417_contig2	232010	342592	cluster1
ESE01521_s01009	ESE01521_contig48	144035	254238	cluster1
ESE01522_s01035	ESE01522_contig82	36634	57881	cluster2
ESE01527_s01054	ESE01527_contig21	17899	132103	cluster1
ESE01535_s01072	ESE01535_contig6	458578	569239	cluster1
ESE01543_s01090	ESE01543_contig3	623364	644319	cluster2
ESE01543_s01094	ESE01543_contig9	1636187	1755396	cluster1
ESE01543_s01103	ESE01543_contig17	8041958	8372790	cluster7
ESE01543_s01111	ESE01543_contig27	145803	234590	cluster5
ESE01564_s01113	ESE01564_contig4	458996	569088	cluster1
ESE01567_s01133	ESE01567_contig33	66921	176396	cluster1
ESE01567_s01143	ESE01567_contig101	44620	65867	cluster2
ESE01587_s01161	ESE01587_contig22	40755	151299	cluster1
ESE01587_s01167	ESE01587_contig54	135419	209234	cluster23
ESE01592_s01222	ESE01592_contig63	82244	192264	cluster1
ESE01592_s01228	ESE01592_contig101	4037	79730	cluster19
ESE01594_s01235	ESE01594_contig4	10961	90717	cluster11
ESE01594_s01244	ESE01594_contig67	90689	111644	cluster2
ESE01617_s01276	ESE01617_contig5	225947	335871	cluster1
ESE01619_s01300	ESE01619_contig58	2907	113381	cluster1
ESE01619_s01305	ESE01619_contig93	4037	79730	cluster19
ESE01623_s01314	ESE01623_contig24	278113	388304	cluster1
ESE01635_s01331	ESE01635_contig54	27623	101940	cluster5
ESE01653_s01348	ESE01653_contig60	90964	201246	cluster1
ESE01661_s01361	ESE01661_contig26	384105	445163	cluster3
ESE01696_s01387	ESE01696_contig47	18035	132073	cluster1
ESE01841_s01404	ESE01841_contig23	278072	388065	cluster1
ESE01892_s01423	ESE01892_contig57	45834	155867	cluster1
ESE01900_s01436	ESE01900_contig10	508884	529839	cluster2
ESE02164_s01526	ESE02164_contig63	52901	162325	cluster1
ESE02164_s01532	ESE02164_contig95	44619	65866	cluster2
ESE02184_s01550	ESE02184_contig96	44559	65806	cluster2
ESE02190_s01571	ESE02190_contig48	73736	183593	cluster1
ESE02190_s01575	ESE02190_contig108	36635	57882	cluster2
LCP05531_s01800	LCP05531_contig1	9695128	10104639	cluster7
LCP05531_s01801	LCP05531_contig1	10929487	11001104	cluster27
LCP05531_s01802	LCP05531_contig1	11405600	11627764	cluster4
LCP05531_s01807	LCP05531_contig2	164425	185672	cluster2
LCP05531_s01808	LCP05531_contig2	119760	255166	cluster2
LCP05531_s01818	LCP05531_contig4	5866908	5965400	cluster8
