to	from	weight
LCP05531_SLR74	ESE00019_s00028	0.7469879518072289
LCP05531_SLR74	LCP06093_SLR86	0.8813559322033898
ESE00418_SLR34	ESE01543_SLR45	0.41624365482233505
ESE00418_SLR34	LCP05531_SLR66	0.8349514563106796
ESE00418_SLR34	LCP05531_s01818	0.3473684210526316
ESE00019_s00037	LCP06093_s01874	1.0
ESE00019_s00037	ESE00418_SLR40	0.5620437956204379
ESE00019_s00037	LCP05531_SLR67	0.7737226277372263
LCP05531_SLR63	ESE01543_SLR51	0.8434237995824635
LCP05531_SLR63	ESE00019_SLR14	0.9174454828660437
LCP05531_SLR63	ESE01543_SLR44	0.63125
LCP05531_SLR63	ESE00019_SLR4	0.9210526315789473
LCP05531_SLR63	LCP06093_SLR78	0.9436936936936937
LCP05531_SLR63	LCP06093_SLR82	0.9430051813471503
LCP05531_SLR63	ESE00418_SLR38	0.8417582417582418
ESE01543_SLR53	ESE00019_s00021	0.30000000000002763
ESE01543_SLR53	ESE00418_s00607	0.30000000000002763
ESE01543_SLR53	ESE00019_SLR19	0.30000000000002763
ESE01543_SLR53	LCP06093_SLR79	0.43333333333337326
ESE01543_SLR53	LCP05531_s01808	0.30000000000002763
ESE01543_SLR53	ESE01543_SLR50	0.30000000000002763
ESE01543_SLR53	ESE01543_SLR54_2	0.30000000000002763
LCP06093_s01882	ESE01543_SLR55	0.5263157923946247
LCP06093_s01882	ESE01543_SLR56	0.7922077922077922
LCP06093_s01882	ESE00418_SLR28	0.9444444444444444
LCP06093_s01882	LCP05531_s01802	0.7871287128712872
LCP06093_s01882	ESE00418_SLR41	0.9444444586993548
LCP06093_s01882	ESE00019_SLR3	0.9896907216494846
LCP06093_s01882	ESE00019_SLR9	0.9411764705882368
LCP06093_s01882	ESE00019_SLR8	0.9518072289156626
ESE00019_SLR12	ESE00418_SLR39	0.5606060606060606
ESE00019_SLR12	ESE01543_SLR46	0.5606060606060606
ESE00019_SLR12	LCP06093_SLR84	0.5454545454545454
ESE00019_SLR12	LCP05531_SLR68	0.9090909090909091
ESE00019_SLR10	LCP05531_SLR70	0.35655737704918034
ESE00019_SLR10	ESE01543_SLR58	0.7104377104377104
ESE00019_SLR10	LCP06093_SLR91	0.9730639730639731
ESE00019_SLR10	LCP05531_SLR62	0.32323232323232326
ESE00019_SLR10	ESE00418_SLR33	0.7037037037037037
LCP06093_SLR80	ESE00019_SLR18	0.9411764705882353
ESE01543_SLR51	ESE00019_SLR14	0.6492693110647182
ESE01543_SLR51	ESE00019_SLR4	0.42105263157894735
ESE01543_SLR51	LCP06093_SLR82	0.37305699481865284
ESE01543_SLR51	ESE00418_SLR38	0.35824175824175825
ESE00019_SLR14	ESE01543_SLR44	0.36875
ESE00019_SLR14	LCP06093_SLR78	0.5045045045045045
ESE00019_SLR14	LCP06093_SLR82	0.8238341968911918
ESE00019_SLR14	ESE00418_SLR38	0.45054945054945056
