SLR	navis-haplotype	contig	start	end	size	captain	captain_start	captain_end	captain_size	captain_sense
ESE00019_SLR1	NA	ESE00019_contig1	5329000	5371325	42325	NA	NA	NA	NA	NA
ESE00019_SLR2	NA	ESE00019_contig1	7873000	7914917	41917	NA	NA	NA	NA	NA
ESE00019_SLR3	NA	ESE00019_contig13	1	108157	108156	ESE00019_tyr46	104101	107616	1472	-
ESE00019_SLR4	NA	ESE00019_contig2	2962000	3062000	100000	ESE00019_tyr23	3038922	3041639	883	-
ESE00019_SLR5	NA	ESE00019_contig2	5961000	6087000	126000	ESE00019_tyr24	5991425	5993495	894	+
ESE00019_SLR5	NA	ESE00019_contig2	5961000	6087000	126000	ESE00019_duf372322	5993837	5996268	1585	-
ESE00019_SLR6	NA	ESE00019_contig3	1295000	1643000	348000	ESE00019_tyr25	1310908	1312776	943	-
ESE00019_SLR6	NA	ESE00019_contig3	1295000	1643000	348000	ESE00019_tyr26	1333186	1333739	143	-
ESE00019_SLR6	NA	ESE00019_contig3	1295000	1643000	348000	ESE00019_duf372325	1533257	1534519	191	+
ESE00019_SLR6	NA	ESE00019_contig3	1295000	1643000	348000	ESE00019_tyr27	1638852	1642495	1060	-
ESE00019_SLR8	NA	ESE00019_contig3	5448000	5560710	112710	ESE00019_tyr29	5448773	5452291	1513	+
ESE00019_SLR9	NA	ESE00019_contig4	1	41000	40999	ESE00019_tyr32	36193	39710	1294	-
ESE00019_SLR10	NA	ESE00019_contig4	2785000	3115000	330000	ESE00019_tyr31	2898915	2901470	753	+
ESE00019_SLR10	NA	ESE00019_contig4	2785000	3115000	330000	ESE00019_duf372328	2915098	2915976	331	-
ESE00019_SLR10	NA	ESE00019_contig4	2785000	3115000	330000	ESE00019_duf372329	2921282	2922305	242	-
ESE00019_SLR11	NA	ESE00019_contig4	925000	1112000	187000	ESE00019_tyr30	1095699	1097450	337	-
ESE00019_SLR12	NA	ESE00019_contig5	1773000	1843000	70000	ESE00019_tyr33	1773571	1775791	752	+
ESE00019_SLR14	NA	ESE00019_contig6	1	666000	665999	ESE00019_tyr36	158964	161623	505	-
ESE00019_SLR14	NA	ESE00019_contig6	1	666000	665999	ESE00019_duf372331	220116	221349	120	-
ESE00019_SLR14	NA	ESE00019_contig6	1	666000	665999	ESE00019_tyr35	627615	630973	1089	+
ESE00019_SLR16	NA	ESE00019_contig6	2096000	2142000	46000	ESE00019_tyr38	2097027	2099896	288	-
ESE00019_SLR17	NA	ESE00019_contig6	3166000	3237000	71000	ESE00019_tyr39	3172678	3174759	695	+
ESE00019_SLR17	NA	ESE00019_contig6	3166000	3237000	71000	ESE00019_duf372332	3175189	3177365	1448	-
ESE00019_SLR18	NA	ESE00019_contig7	1	624000	623999	ESE00019_tyr40	249591	252058	907	-
ESE00019_SLR18	NA	ESE00019_contig7	1	624000	623999	ESE00019_duf372334	422581	423405	195	+
ESE00019_SLR18	NA	ESE00019_contig7	1	624000	623999	ESE00019_tyr41	604608	607342	1286	-
ESE00019_SLR19	NA	ESE00019_contig9	5000	771560	766560	ESE00019_tyr44	272542	275279	1294	+
ESE00019_SLR19	NA	ESE00019_contig9	5000	771560	766560	ESE00019_duf372336	434440	436725	206	-
ESE00019_SLR19	NA	ESE00019_contig9	5000	771560	766560	ESE00019_fre22	682477	684212	887	+
ESE00019_SLR19	NA	ESE00019_contig9	5000	771560	766560	ESE00019_duf372337	689458	692322	1014	+
ESE00019_SLR19	NA	ESE00019_contig9	5000	771560	766560	ESE00019_tyr45	712045	714707	1008	-
ESE00019_SLR19	NA	ESE00019_contig9	5000	771560	766560	ESE00019_tyr43	715876	718387	1169	+
ESE00019_SLR19	NA	ESE00019_contig9	5000	771560	766560	ESE00019_duf372338	96584	99765	1070	-
ESE00090_SLR20	NA	ESE00090_contig1	4755000	4893000	138000	ESE00090_tyr156	4783449	4784002	143	+
ESE00090_SLR22	NA	ESE00090_contig5	2385081	2537000	151919	NA	NA	NA	NA	NA
ESE00418_SLR23	NA	ESE00418_contig15	1	123000	122999	ESE00418_duf3723522	35249	37425	1448	+
ESE00418_SLR23	NA	ESE00418_contig15	1	123000	122999	ESE00418_tyr653	37855	39936	695	-
ESE00418_SLR23	NA	ESE00418_contig15	1	123000	122999	ESE00418_tyr652	60316	62395	570	-
ESE00418_SLR24	NA	ESE00418_contig16	1377213	2786000	1408787	ESE00418_duf3723525	1644007	1645527	247	-
ESE00418_SLR24	NA	ESE00418_contig16	1377213	2786000	1408787	ESE00418_myb194	1695987	1697706	1016	+
ESE00418_SLR24	NA	ESE00418_contig16	1377213	2786000	1408787	ESE00418_duf3723530	2008744	2010112	619	-
ESE00418_SLR24	NA	ESE00418_contig16	1377213	2786000	1408787	ESE00418_duf3723523	2246447	2247355	44	+
ESE00418_SLR24	NA	ESE00418_contig16	1377213	2786000	1408787	ESE00418_fre359	2256947	2257429	101	+
ESE00418_SLR24	NA	ESE00418_contig16	1377213	2786000	1408787	ESE00418_duf3723528	2420461	2422157	116	-
ESE00418_SLR24	NA	ESE00418_contig16	1377213	2786000	1408787	ESE00418_tyr658	2473143	2475474	806	+
ESE00418_SLR24	NA	ESE00418_contig16	1377213	2786000	1408787	ESE00418_tyr657	2730849	2733577	1146	-
ESE00418_SLR26	NA	ESE00418_contig16	6053000	6240539	187539	ESE00418_tyr659	6053277	6056804	1691	+
ESE00418_SLR26	NA	ESE00418_contig16	6053000	6240539	187539	ESE00418_duf3723526	6127636	6129911	376	+
ESE00418_SLR27	NA	ESE00418_contig16	977000	1011172	34172	NA	NA	NA	NA	NA
ESE00418_SLR28	NA	ESE00418_contig17	1	67102	67101	ESE00418_tyr660	3	3198	825	+
ESE00418_SLR31	NA	ESE00418_contig20	2495000	2814233	319233	ESE00418_tyr663	2529131	2531868	1294	+
ESE00418_SLR31	NA	ESE00418_contig20	2495000	2814233	319233	ESE00418_duf3723534	2701369	2703654	206	-
ESE00418_SLR31	NA	ESE00418_contig20	2495000	2814233	319233	ESE00418_duf3723536	2773025	2776205	1025	-
ESE00418_SLR32	NA	ESE00418_contig21	419000	555000	136000	ESE00418_tyr666	512334	512887	143	+
ESE00418_SLR32	NA	ESE00418_contig21	419000	555000	136000	ESE00418_tyr665	533082	534950	943	+
ESE00418_SLR33	NA	ESE00418_contig3	1365000	1704000	339000	ESE00418_fre355	1551792	1553434	709	+
ESE00418_SLR33	NA	ESE00418_contig3	1365000	1704000	339000	ESE00418_duf3723512	1557778	1558801	185	+
