to	from	weight
LCP05531_SLR74	ESE00019_s00028	0.7469879518072289
LCP05531_SLR74	LCP06093_SLR86	0.8813559322033898
ESE00418_SLR34	ESE01543_SLR45	0.41624365482233505
ESE00418_SLR34	LCP05531_SLR66	0.8349514563106796
ESE00418_SLR34	LCP05531_s01818	0.3473684210526316
ESE00019_s00037	LCP06093_s01874	1.0
ESE00019_s00037	ESE00418_SLR40	0.5620437956204379
ESE00019_s00037	LCP05531_SLR67	0.7737226277372263
LCP05531_SLR63	ESE01543_SLR51	0.8434237995824635
LCP05531_SLR63	ESE00019_SLR14	0.9174454828660437
LCP05531_SLR63	ESE01543_SLR44	0.63125
LCP05531_SLR63	ESE00019_SLR4	0.9210526315789473
LCP05531_SLR63	LCP06093_SLR78	0.9436936936936937
LCP05531_SLR63	LCP06093_SLR82	0.9430051813471503
LCP05531_SLR63	ESE00418_SLR38	0.8417582417582418
ESE01543_SLR53	ESE00019_s00021	0.30000000000002763
ESE01543_SLR53	ESE00418_s00607	0.30000000000002763
ESE01543_SLR53	ESE00019_SLR19	0.30000000000002763
ESE01543_SLR53	LCP06093_SLR79	0.43333333333337326
ESE01543_SLR53	LCP05531_s01808	0.30000000000002763
ESE01543_SLR53	ESE01543_SLR50	0.30000000000002763
ESE01543_SLR53	ESE01543_SLR54_2	0.30000000000002763
LCP06093_s01882	ESE01543_SLR55	0.5263157923946247
LCP06093_s01882	ESE01543_SLR56	0.7922077922077922
LCP06093_s01882	ESE00418_SLR28	0.9444444444444444
LCP06093_s01882	LCP05531_s01802	0.7871287128712872
LCP06093_s01882	ESE00418_SLR41	0.9444444586993548
LCP06093_s01882	ESE00019_SLR3	0.9896907216494846
LCP06093_s01882	ESE00019_SLR9	0.9411764705882368
LCP06093_s01882	ESE00019_SLR8	0.9518072289156626
ESE01567_s01133	ESE00019_s00033	0.9917355371900827
ESE01567_s01133	LCP05531_SLR71	0.9917355371900827
ESE01567_s01133	ESE01261_s00804	0.9917355371900827
ESE01567_s01133	LCP6622_s01953	0.9917355371900827
ESE01567_s01133	ESE00139_s00245	0.952
ESE01567_s01133	ESE01587_s01161	0.952
ESE01567_s01133	ESE01617_s01276	0.952
ESE01567_s01133	ESE00125_s00183	0.9523809523809523
ESE01567_s01133	ESE00960_s00681	0.9523809523809523
ESE01567_s01133	ESE01393_s00869	0.9523809523809523
ESE01567_s01133	ESE01417_s00945	0.9523809523809523
ESE01567_s01133	ESE01521_s01009	0.9523809523809523
ESE01567_s01133	ESE01592_s01222	0.9523809523809523
ESE01567_s01133	ESE01619_s01300	0.9523809523809523
ESE01567_s01133	ESE01653_s01348	0.9523809523809523
ESE01567_s01133	ESE01892_s01423	0.9523809523809523
ESE01567_s01133	LCP5496_s01742	0.9523809523809523
ESE01567_s01133	ESE00553_s00638	0.9375
ESE01567_s01133	ESE01527_s01054	0.9375
ESE01567_s01133	ESE01696_s01387	0.9375
