name	type	navis_haplotype	navis	navis_slim
ESE00018_s00006	Starship	navis0004-hap0001	navis0004	NA
ESE00019_SLR1	SLR	NA	NA	NA
ESE00019_SLR10	SLR	NA	NA	NA
ESE00019_SLR11	SLR	NA	NA	NA
ESE00019_SLR12	SLR	NA	NA	NA
ESE00019_SLR14	SLR	NA	NA	NA
ESE00019_SLR16	SLR	NA	NA	NA
ESE00019_SLR17	SLR	NA	NA	NA
ESE00019_SLR18	SLR	NA	NA	NA
ESE00019_SLR19	SLR	NA	NA	NA
ESE00019_SLR2	SLR	NA	NA	NA
ESE00019_SLR3	SLR	NA	NA	NA
ESE00019_SLR4	SLR	NA	NA	NA
ESE00019_SLR5	SLR	NA	NA	NA
ESE00019_SLR6	SLR	NA	NA	NA
ESE00019_SLR8	SLR	NA	NA	NA
ESE00019_SLR9	SLR	NA	NA	NA
ESE00019_s00021	Starship	navis0011-hap0007	navis0011	NA
ESE00019_s00022	Starship	navis0014-hap0021	navis0014	NA
ESE00019_s00028	Starship	navis0001-hap0010	navis0001	NA
ESE00019_s00033	Starship	navis0004-hap0001	navis0004	NA
ESE00019_s00037	Starship	navis0003-hap0011	navis0003	NA
ESE00086_s00090	Starship	navis0014-hap0008	navis0014	NA
ESE00086_s00092	Starship	navis0009-hap0012	navis0009	NA
ESE00087_s00109	Starship	navis0002-hap0002	navis0002	NA
ESE00089_s00138	Starship	navis0002-hap0002	navis0002	NA
ESE00090_SLR20	SLR	NA	NA	NA
ESE00090_SLR22	SLR	NA	NA	NA
ESE00090_s00154	Starship	navis0014-hap0024	navis0014	NA
ESE00090_s00155	Starship	navis0009-hap0003	navis0009	NA
ESE00090_s00157	Starship	navis0004-hap0013	navis0004	NA
ESE00125_s00183	Starship	navis0004-hap0001	navis0004	NA
ESE00126_s00214	Starship	navis0002-hap0002	navis0002	NA
ESE00139_s00245	Starship	navis0004-hap0001	navis0004	NA
ESE00151_s00266	Starship	navis0002-hap0002	navis0002	NA
ESE00155_s00304	Starship	navis0009-hap0003	navis0009	NA
ESE00156_s00317	Starship	navis0002-hap0002	navis0002	NA
ESE00157_s00340	Starship	navis0002-hap0002	navis0002	NA
ESE00158_s00361	Starship	navis0002-hap0002	navis0002	NA
ESE00160_s00396	Starship	navis0002-hap0002	navis0002	NA
ESE00207_s00416	Starship	navis0002-hap0002	navis0002	NA
ESE00211_s00437	Starship	navis0002-hap0002	navis0002	NA
ESE00230_s00456	Starship	navis0013-hap0004	navis0013	NA
ESE00231_s00482	Starship	navis0013-hap0004	navis0013	NA
ESE00282_s00519	Starship	navis0002-hap0002	navis0002	NA
ESE00283_s00547	Starship	navis0002-hap0002	navis0002	NA
ESE00418_SLR23	SLR	NA	NA	NA
ESE00418_SLR24	SLR	NA	NA	NA
ESE00418_SLR26	SLR	NA	NA	NA
ESE00418_SLR27	SLR	NA	NA	NA
ESE00418_SLR28	SLR	NA	NA	NA
ESE00418_SLR31	SLR	NA	NA	NA
ESE00418_SLR32	SLR	NA	NA	NA
ESE00418_SLR33	SLR	NA	NA	NA
ESE00418_SLR34	SLR	NA	NA	NA
ESE00418_SLR35	SLR	NA	NA	NA
ESE00418_SLR36	SLR	NA	NA	NA
ESE00418_SLR37	SLR	NA	NA	NA
ESE00418_SLR38	SLR	NA	NA	NA
ESE00418_SLR39	SLR	NA	NA	NA
ESE00418_SLR40	SLR	NA	NA	NA
ESE00418_SLR41	SLR	NA	NA	NA
ESE00418_SLR42	SLR	NA	NA	NA
ESE00418_s00606	Starship	navis0011-hap0015	navis0011	NA
ESE00418_s00607	Starship	navis0011-hap0007	navis0011	NA
ESE00418_s00610	Starship	navis0002-hap0009	navis0002	NA
ESE00418_s00613	Starship	navis0004-hap0025	navis0004	NA
ESE00418_s00614	Starship	navis0013-hap0001	navis0013	NA
ESE00418_s00615	Starship	navis0004-hap0001	navis0004	NA
ESE00418_s00620	Starship	navis0004-hap0005	navis0004	NA
ESE00418_s00621	Starship	navis0010-hap0016	navis0010	NA
ESE00553_s00638	Starship	navis0004-hap0001	navis0004	NA
ESE00958_s00670	Starship	navis0009-hap0017	navis0009	NA
ESE00958_s00677	Starship	navis0009-hap0003	navis0009	NA
ESE00960_s00681	Starship	navis0004-hap0001	navis0004	NA
ESE00960_s00693	Starship	navis0002-hap0002	navis0002	NA
ESE00961_s00707	Starship	navis0001-hap0006	navis0001	NA
ESE00961_s00711	Starship	navis0009-hap0003	navis0009	NA
ESE00993_s00753	Starship	navis0002-hap0002	navis0002	NA
ESE01218_s00785	Starship	navis0004-hap0001	navis0004	NA
ESE01261_s00804	Starship	navis0004-hap0001	navis0004	NA
ESE01261_s00814	Starship	navis0013-hap0004	navis0013	NA
ESE01262_s00834	Starship	navis0002-hap0002	navis0002	NA
ESE01393_s00869	Starship	navis0004-hap0001	navis0004	NA
ESE01400_s00920	Starship	navis0005-hap0027	navis0005	NA
ESE01417_s00945	Starship	navis0004-hap0001	navis0004	NA
ESE01435_s00969	Starship	navis0003-hap0028	navis0003	NA
ESE01521_s01009	Starship	navis0004-hap0001	navis0004	NA
ESE01521_s01016	Starship	navis0006-hap0029	navis0006	NA
ESE01522_s01035	Starship	navis0002-hap0002	navis0002	NA
ESE01527_s01054	Starship	navis0004-hap0001	navis0004	NA
ESE01535_s01072	Starship	navis0004-hap0001	navis0004	NA
ESE01543_SLR43	SLR	NA	NA	NA
ESE01543_SLR44	SLR	NA	NA	NA
ESE01543_SLR45	SLR	NA	NA	NA
ESE01543_SLR46	SLR	NA	NA	NA
ESE01543_SLR48	SLR	NA	NA	NA
ESE01543_SLR49	SLR	NA	NA	NA
ESE01543_SLR50	SLR	NA	NA	NA
ESE01543_SLR51	SLR	NA	NA	NA
ESE01543_SLR53	SLR	NA	NA	NA
ESE01543_SLR54_1	SLR	NA	NA	NA
