starship_SLR	navis-haplotype	contig	start	end	size	captain	captain_start	captain_end	captain_sense
ESE00019_s00021	navis0011-hap0007	ESE00019_contig1	5371325	5485282	113957	ESE00019_tyr21	5482252	5484763	-
ESE00019_s00022	navis0014-hap0021	ESE00019_contig1	7914917	8400596	485679	ESE00019_tyr22	7915359	7917838	+
ESE00019_s00028	navis0001-hap0010	ESE00019_contig3	4169110	4264713	95603	ESE00019_tyr28	4174896	4177423	+
ESE00019_s00033	navis0004-hap0001	ESE00019_contig5	506505	612135	105630	ESE00019_tyr34	609403	611435	-
ESE00019_s00037	navis0003-hap0011	ESE00019_contig6	1247869	1408002	160133	ESE00019_tyr37	1248478	1253945	+
ESE00090_s00154	navis0014-hap0024	ESE00090_contig2	8868642	8918968	50326	ESE00090_tyr157	8869103	8871654	+
ESE00090_s00155	navis0009-hap0003	ESE00090_contig2	8931950	8992966	61016	ESE00090_tyr158	8932965	8934509	+
ESE00090_s00157	navis0004-hap0013	ESE00090_contig5	2285296	2385081	99785	ESE00090_tyr160	2286359	2287393	+
ESE00418_s00606	navis0011-hap0015	ESE00418_contig16	1011172	1142006	130834	ESE00418_tyr655	1139395	1140783	-
ESE00418_s00607	navis0011-hap0007	ESE00418_contig16	1263347	1377213	113866	ESE00418_tyr654	1374184	1376694	-
ESE00418_s00610	navis0002-hap0009	ESE00418_contig16	3262711	3376888	114177	ESE00418_tyr656	3372576	3376219	-
ESE00418_s00613	navis0004-hap0025	ESE00418_contig19	656481	731964	75483	ESE00418_tyr661	657183	659215	+
ESE00418_s00614	navis0013-hap0001	ESE00418_contig20	2240150	2391940	151790	ESE00418_tyr662	2242032	2244102	+
ESE00418_s00615	navis0004-hap0001	ESE00418_contig20	2241219	2391940	150721	ESE00418_tyr664	2389208	2391240	-
ESE00418_s00620	navis0004-hap0005	ESE00418_contig34	3996696	4446457	449761	ESE00418_tyr639	3999024	4001898	+
ESE00418_s00621	navis0010-hap0016	ESE00418_contig34	5178880	5252439	73559	ESE00418_tyr640	5180231	5181162	+
ESE01543_s01090	navis0002-hap0002	ESE01543_contig3	623364	644319	20955	ESE01543_tyr1121	641012	642446	-
ESE01543_s01094	navis0004-hap0001	ESE01543_contig9	1636187	1755396	119209	ESE01543_tyr1126	1636961	1638993	+
ESE01543_s01103	navis0002-hap0009	ESE01543_contig17	8041958	8372790	330832	ESE01543_tyr1115	8042627	8046270	+
ESE01543_s01111	navis0009-hap0030	ESE01543_contig27	145803	234590	88787	ESE01543_tyr1134	146370	148450	+
LCP05531_s01799	navis0014-hap0033	LCP05531_contig1	8199526	8890664	691138	LCP05531_tyr1622	8199957	8202436	+
LCP05531_s01800	navis0002-hap0009	LCP05531_contig1	9695128	10104639	409511	LCP05531_tyr1623	9695797	9699440	+
LCP05531_s01801	navis0013-hap0034	LCP05531_contig1	10929487	11001104	71617	LCP05531_tyr1626	10998401	11000512	-
LCP05531_s01802	navis0003-hap0018	LCP05531_contig1	11405600	11627764	222164	LCP05531_tyr1625	11406215	11409733	+
LCP05531_s01807	navis0002-hap0002	LCP05531_contig2	164425	185672	21247	LCP05531_tyr1633	182073	183507	-
LCP05531_s01808	navis0011-hap0007	LCP05531_contig2	119760	255166	135406	LCP05531_tyr1629	252136	254647	-
LCP05531_s01818	navis0001-hap0014	LCP05531_contig4	5866908	5965400	98492	LCP05531_tyr1640	5867423	5870085	+
LCP06093_s01874	navis0003-hap0011	LCP06093_contig3	671840	831457	159617	LCP06093_tyr1654	825381	830848	-
LCP06093_s01880	navis0016-hap0035	LCP06093_contig7	621255	689401	68146	LCP06093_tyr1660	686020	688947	-
LCP06093_s01882	navis0003-hap0018	LCP06093_contig11	43328	308637	265309	LCP06093_tyr1662	298527	302045	-
ESE00019_SLR1	NA	ESE00019_contig1	5329000	5371325	42325	NA	NA	NA	NA
ESE00019_SLR10	NA	ESE00019_contig4	2785000	3115000	330000	ESE00019_tyr31	2898915	2901470	+
ESE00019_SLR11	NA	ESE00019_contig4	925000	1112000	187000	ESE00019_tyr30	1095699	1097450	-
ESE00019_SLR12	NA	ESE00019_contig5	1773000	1843000	70000	ESE00019_tyr33	1773571	1775791	+
ESE00019_SLR14	NA	ESE00019_contig6	1	666000	665999	ESE00019_tyr36;ESE00019_tyr35	158964;627615	161623;630973	-;+
ESE00019_SLR16	NA	ESE00019_contig6	2096000	2142000	46000	ESE00019_tyr38	2097027	2099896	-
ESE00019_SLR17	NA	ESE00019_contig6	3166000	3237000	71000	ESE00019_tyr39	3172678	3174759	+
ESE00019_SLR18	NA	ESE00019_contig7	1	624000	623999	ESE00019_tyr40;ESE00019_tyr41	249591;604608	252058;607342	-;-
ESE00019_SLR19	NA	ESE00019_contig9	5000	771560	766560	ESE00019_tyr44;ESE00019_tyr45;ESE00019_tyr43	272542;712045;715876	275279;714707;718387	+;-;+
ESE00019_SLR2	NA	ESE00019_contig1	7873000	7914917	41917	NA	NA	NA	NA
ESE00019_SLR3	NA	ESE00019_contig13	1	108157	108156	ESE00019_tyr46	104101	107616	-
ESE00019_SLR4	NA	ESE00019_contig2	2962000	3062000	100000	ESE00019_tyr23	3038922	3041639	-
ESE00019_SLR5	NA	ESE00019_contig2	5961000	6087000	126000	ESE00019_tyr24	5991425	5993495	+
ESE00019_SLR6	NA	ESE00019_contig3	1295000	1643000	348000	ESE00019_tyr25;ESE00019_tyr26;ESE00019_tyr27	1310908;1333186;1638852	1312776;1333739;1642495	-;-;-
ESE00019_SLR8	NA	ESE00019_contig3	5448000	5560710	112710	ESE00019_tyr29	5448773	5452291	+
ESE00019_SLR9	NA	ESE00019_contig4	1	41000	40999	ESE00019_tyr32	36193	39710	-
