to	from	weight
LCP05531_SLR74	ESE00019_s00028	0.5740740740740741
LCP05531_SLR74	LCP06093_SLR86	0.5531914893617021
ESE00418_SLR34	LCP05531_SLR66	0.40186915887850466
ESE00019_s00037	LCP06093_s01874	0.9635036496350365
LCP05531_SLR63	ESE01543_SLR51	0.404
LCP05531_SLR63	ESE00019_SLR14	0.6022494887525562
LCP05531_SLR63	LCP06093_SLR78	0.44105263157894736
LCP05531_SLR63	ESE00418_SLR38	0.38415245737211634
LCP06093_s01882	ESE01543_SLR56	0.45185185185185184
LCP06093_s01882	LCP05531_s01802	0.5658362989323843
LCP06093_s01882	ESE00019_SLR3	0.401673640167364
LCP06093_s01882	ESE00019_SLR8	0.32644628099173556
ESE00019_SLR12	LCP06093_SLR84	0.36
ESE00019_SLR10	ESE01543_SLR58	0.5209876543209877
ESE00019_SLR10	LCP06093_SLR91	0.8837920489296636
ESE00019_SLR10	ESE00418_SLR33	0.5
ESE01543_SLR51	ESE00019_SLR14	0.38395061728395063
ESE00019_s00033	LCP05531_SLR71	1.0
ESE00019_s00033	LCP06093_SLR83	0.656
ESE00019_s00033	ESE01543_s01094	0.9097744360902256
ESE00019_s00033	ESE00418_s00614	0.75625
ESE00019_s00033	ESE00418_s00615	0.75625
LCP05531_SLR71	LCP06093_SLR83	0.656
LCP05531_SLR71	ESE01543_s01094	0.9097744360902256
LCP05531_SLR71	ESE00418_s00614	0.75625
LCP05531_SLR71	ESE00418_s00615	0.75625
ESE01543_SLR55	ESE00418_SLR41	0.37037037037037035
ESE01543_SLR59	ESE00019_SLR11	0.6336633663366337
ESE01543_SLR59	LCP06093_SLR90	0.5257731958762887
ESE01543_SLR59	LCP05531_SLR72	0.8941176470588236
ESE01543_SLR59	ESE00418_SLR35	0.9132947976878613
ESE01543_SLR56	ESE00418_SLR28	0.3248407643312102
ESE01543_SLR56	LCP05531_s01802	0.6558139534883721
ESE01543_SLR56	ESE00019_SLR3	0.3791208791208791
ESE01543_SLR56	ESE00019_SLR8	0.3699421965317919
LCP06093_SLR89	ESE00019_SLR6	0.9401709401709402
LCP06093_SLR89	LCP05531_s01800	0.4862204724409449
ESE00019_SLR1	ESE00418_SLR37	0.8545454545454545
ESE00019_s00028	LCP06093_SLR86	0.5777777777777777
ESE00019_s00021	ESE00418_s00607	1.0
ESE00019_s00021	LCP05531_s01808	0.8444444444444444
ESE00019_s00021	ESE01543_SLR54_2	0.5789473684210527
ESE00418_s00607	LCP05531_s01808	0.8444444444444444
ESE00418_s00607	ESE01543_SLR54_2	0.5789473684210527
ESE00418_SLR28	ESE00418_SLR41	0.3333333333333333
ESE00418_SLR28	ESE00019_SLR3	0.51
ESE00418_SLR28	ESE00019_SLR9	0.6
ESE00418_SLR28	ESE00019_SLR8	0.5747126436781609
ESE00019_SLR11	LCP06093_SLR90	0.7710843373493976
ESE00019_SLR11	LCP05531_SLR72	0.6580310880829016
ESE00019_SLR11	ESE00418_SLR35	0.6368159203980099
LCP06093_SLR85	ESE00019_SLR5	0.7062937062937062
ESE00418_SLR36	LCP05531_SLR69	0.8135593220338984
ESE00418_SLR36	ESE01543_SLR49	0.9152542372881356
ESE00418_s00606	ESE01543_SLR54_1	0.44313725490196076
ESE00418_s00606	LCP05531_SLR62	0.5369127516778524
LCP06093_SLR83	ESE01543_s01094	0.6466165413533834
LCP06093_SLR83	ESE00418_s00614	0.5
LCP06093_SLR83	ESE00418_s00615	0.5
ESE00019_SLR17	LCP06093_SLR81	0.9436619718309859
ESE00418_SLR41	ESE00019_SLR9	0.4857142857142857
ESE01543_SLR45	ESE00418_SLR31	0.32408759124087594
ESE00019_SLR19	ESE00418_SLR31	0.3739495798319328
ESE00019_SLR6	LCP05531_s01800	0.4609375
LCP05531_SLR70	ESE01543_SLR58	0.41102756892230574
LCP05531_SLR70	ESE00418_SLR33	0.337995337995338
LCP06093_SLR90	LCP05531_SLR72	0.5628415300546448
LCP06093_SLR90	ESE00418_SLR35	0.5364583333333334
ESE01543_SLR58	LCP06093_SLR91	0.5447941888619855
ESE01543_SLR58	ESE00418_SLR33	0.7780821917808219
LCP06093_SLR79	ESE01543_SLR54_2	0.4722222222222222
ESE00019_SLR3	ESE00019_SLR9	0.32323232323232326
ESE00019_SLR3	ESE00019_SLR8	0.7821782178217822
ESE01543_s01103	ESE00418_s00610	0.3525835866261398
ESE01543_s01103	LCP05531_s01800	0.6227678571428571
LCP06093_s01874	LCP05531_SLR67	0.3002832861189802
ESE00019_SLR9	ESE00019_SLR8	0.3764705882352941
LCP05531_s01808	ESE01543_SLR54_2	0.4888888888888889
LCP06093_SLR91	ESE00418_SLR33	0.5199063231850117
ESE01543_SLR48	ESE00418_SLR32	0.841726618705036
ESE01543_SLR48	LCP05531_SLR76	0.8148148148148148
LCP05531_SLR69	ESE01543_SLR49	0.8983050847457628
ESE00418_SLR32	LCP05531_SLR76	0.9090909090909091
ESE01543_s01094	ESE00418_s00614	0.7134502923976608
ESE01543_s01094	ESE00418_s00615	0.7134502923976608
ESE00418_s00610	LCP05531_s01800	0.30434782608695654
LCP05531_SLR77	LCP05531_s01801	0.4578313253012048
ESE01543_s01090	LCP05531_s01807	1.0
LCP05531_SLR72	ESE00418_SLR35	0.9107142857142857
ESE01543_SLR46	LCP05531_SLR68	0.4864864864864865
ESE00418_s00614	ESE00418_s00615	1.0
