sampleID	ESE00018_s00006	ESE00019_SLR1	ESE00019_SLR10	ESE00019_SLR11	ESE00019_SLR12	ESE00019_SLR14	ESE00019_SLR16	ESE00019_SLR17	ESE00019_SLR18	ESE00019_SLR19	ESE00019_SLR2	ESE00019_SLR3	ESE00019_SLR4	ESE00019_SLR5	ESE00019_SLR6	ESE00019_SLR8	ESE00019_SLR9	ESE00019_s00021	ESE00019_s00022	ESE00019_s00028	ESE00019_s00033	ESE00019_s00037	ESE00086_s00090	ESE00086_s00092	ESE00087_s00109	ESE00089_s00138	ESE00090_SLR20	ESE00090_SLR22	ESE00090_s00154	ESE00090_s00155	ESE00090_s00157	ESE00125_s00183	ESE00126_s00214	ESE00139_s00245	ESE00151_s00266	ESE00155_s00304	ESE00156_s00317	ESE00157_s00340	ESE00158_s00361	ESE00160_s00396	ESE00207_s00416	ESE00211_s00437	ESE00230_s00456	ESE00231_s00482	ESE00282_s00519	ESE00283_s00547	ESE00418_SLR23	ESE00418_SLR24	ESE00418_SLR26	ESE00418_SLR27	ESE00418_SLR28	ESE00418_SLR31	ESE00418_SLR32	ESE00418_SLR33	ESE00418_SLR34	ESE00418_SLR35	ESE00418_SLR36	ESE00418_SLR37	ESE00418_SLR38	ESE00418_SLR39	ESE00418_SLR40	ESE00418_SLR41	ESE00418_SLR42	ESE00418_s00606	ESE00418_s00607	ESE00418_s00610	ESE00418_s00613	ESE00418_s00614	ESE00418_s00615	ESE00418_s00620	ESE00418_s00621	ESE00553_s00638	ESE00958_s00670	ESE00958_s00677	ESE00960_s00681	ESE00960_s00693	ESE00961_s00707	ESE00961_s00711	ESE00993_s00753	ESE01218_s00785	ESE01261_s00804	ESE01261_s00814	ESE01262_s00834	ESE01393_s00869	ESE01400_s00920	ESE01417_s00945	ESE01435_s00969	ESE01521_s01009	ESE01521_s01016	ESE01522_s01035	ESE01527_s01054	ESE01535_s01072	ESE01543_SLR43	ESE01543_SLR44	ESE01543_SLR45	ESE01543_SLR46	ESE01543_SLR48	ESE01543_SLR49	ESE01543_SLR50	ESE01543_SLR51	ESE01543_SLR53	ESE01543_SLR54_1	ESE01543_SLR54_2	ESE01543_SLR55	ESE01543_SLR56	ESE01543_SLR57	ESE01543_SLR58	ESE01543_SLR59	ESE01543_s01090	ESE01543_s01094	ESE01543_s01103	ESE01543_s01111	ESE01564_s01113	ESE01567_s01133	ESE01567_s01143	ESE01587_s01161	ESE01587_s01167	ESE01592_s01222	ESE01592_s01228	ESE01594_s01235	ESE01594_s01244	ESE01617_s01276	ESE01619_s01300	ESE01619_s01305	ESE01623_s01314	ESE01635_s01331	ESE01653_s01348	ESE01661_s01361	ESE01696_s01387	ESE01841_s01404	ESE01892_s01423	ESE01900_s01436	ESE02164_s01526	ESE02164_s01532	ESE02184_s01550	ESE02190_s01571	ESE02190_s01575	LCP05531_SLR60	LCP05531_SLR62	LCP05531_SLR63	LCP05531_SLR66	LCP05531_SLR67	LCP05531_SLR68	LCP05531_SLR69	LCP05531_SLR70	LCP05531_SLR71	LCP05531_SLR72	LCP05531_SLR74	LCP05531_SLR75	LCP05531_SLR76	LCP05531_SLR77	LCP05531_s01799	LCP05531_s01800	LCP05531_s01801	LCP05531_s01802	LCP05531_s01807	LCP05531_s01808	LCP05531_s01818	LCP06093_SLR78	LCP06093_SLR79	LCP06093_SLR80	LCP06093_SLR81	LCP06093_SLR82	LCP06093_SLR83	LCP06093_SLR84	LCP06093_SLR85	LCP06093_SLR86	LCP06093_SLR88	LCP06093_SLR89	LCP06093_SLR90	LCP06093_SLR91	LCP06093_s01874	LCP06093_s01880	LCP06093_s01882	LCP3239_s01654	LCP4799_s01694	LCP4799_s01696	LCP5327_s01719	LCP5327_s01721	LCP5327_s01722	LCP5471_s01732	LCP5496_s01742	LCP5529T_s01783	LCP5639_s01851	LCP6615_s01894	LCP6621_s01936	LCP6622_s01953	LCP6623_s01974	LCP6697_s01988	LCP6700_s02027	LCP6701_s02040	LCP797_s01620	LCP797_s01623	LMA421_s02055	LMA421_s02063	PN0144_s02085	PN0144_s02090	UBOCC-A-112050_s02145	UBOCC-A-112053_s02172	UBOCC-A-112059_s02186	UBOCC-A-116003_s02281	UBOCC-A-116003_s02288
ESE00018	0.997	1.000	0.956	0.987	0.539	0.852	0.999	0.257	0.372	0.664	0.907	0.990	0.903	0.501	0.986	0.991	0.999	1.000	0.482	0.712	1.000	0.636	0.090	0.165	0.025	0.025	0.807	0.867	0.626	0.059	0.179	1.000	0.024	0.999	0.025	0.054	0.025	0.025	0.025	0.025	0.025	0.025	0.253	0.252	0.025	0.025	0.547	0.459	0.994	1.000	1.000	0.446	1.000	0.976	0.948	1.000	1.000	1.000	0.991	0.792	0.520	1.000	0.661	1.000	1.000	0.999	0.658	0.908	0.907	0.998	0.999	0.999	0.204	0.071	0.996	0.024	0.344	0.054	0.025	0.965	0.999	0.253	0.025	0.996	1.000	0.996	0.330	0.999	0.186	0.025	0.999	0.999	0.989	0.988	0.423	0.920	0.970	1.000	0.998	0.787	0.972	0.909	1.000	0.974	0.971	1.000	1.000	1.000	0.025	1.000	0.987	0.271	0.999	0.999	0.025	0.996	0.998	0.999	0.090	1.000	0.025	0.999	0.995	0.090	0.998	0.162	0.999	0.059	0.999	1.000	0.998	0.025	0.999	0.025	0.025	0.999	0.025	1.000	1.000	0.882	0.899	0.741	0.888	1.000	1.000	1.000	1.000	0.749	0.348	1.000	0.227	0.550	0.989	0.254	0.979	0.024	0.846	0.543	0.953	1.000	0.983	0.266	0.856	1.000	0.575	0.562	0.748	0.599	0.986	0.982	0.963	0.634	0.295	0.971	0.264	0.295	0.063	0.301	0.159	0.059	0.071	0.999	0.025	0.025	0.054	0.143	0.995	0.577	0.056	0.579	0.025	0.345	0.053	0.204	0.024	0.133	0.054	0.024	0.025	0.999	0.999	1.000
ESE00019	0.947	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	1.000	1.000	1.000	1.000	1.000	0.100	0.710	0.025	0.025	0.795	0.864	0.540	0.132	0.190	0.949	0.025	0.948	0.025	0.294	0.025	0.025	0.025	0.025	0.025	0.025	1.000	1.000	0.025	0.024	0.865	0.657	0.557	0.972	1.000	0.973	0.960	0.961	0.697	0.997	0.988	1.000	0.857	0.699	0.491	1.000	0.830	0.737	1.000	0.748	0.707	0.921	0.921	0.999	0.653	0.950	0.772	0.336	0.945	0.025	0.337	0.293	0.025	0.956	0.996	0.999	0.025	0.946	1.000	0.946	0.313	0.948	0.278	0.024	0.950	0.949	0.989	0.978	0.809	0.524	0.921	0.989	0.656	0.913	0.977	0.836	1.000	0.976	0.958	0.968	0.979	0.984	0.025	0.997	0.824	0.622	0.948	0.996	0.024	0.946	0.653	0.948	0.100	0.399	0.025	0.948	0.945	0.100	0.947	0.709	0.948	0.132	0.950	0.949	0.947	0.025	0.948	0.024	0.024	0.948	0.024	0.999	0.872	0.876	0.687	0.517	0.543	0.989	0.966	0.997	0.996	0.924	0.491	0.957	0.223	0.367	0.860	0.338	0.963	0.025	0.846	0.923	0.884	1.000	0.983	1.000	0.946	1.000	0.931	1.000	1.000	0.763	0.949	1.000	0.988	1.000	0.441	1.000	0.208	0.271	0.365	0.278	0.165	0.133	0.337	0.948	0.024	0.025	0.294	0.109	0.992	0.018	0.388	0.018	0.025	0.337	0.291	0.812	0.025	0.099	0.294	0.025	0.025	0.948	0.948	0.180
ESE00023	0.997	0.996	0.961	0.982	0.930	0.762	0.987	1.000	0.586	0.927	0.998	0.939	0.896	0.840	0.621	0.938	0.999	1.000	0.911	0.746	0.999	0.952	0.097	0.776	0.025	0.025	0.772	0.826	0.577	0.158	0.200	1.000	0.024	0.999	0.025	0.342	0.025	0.025	0.025	0.025	0.025	0.025	0.857	0.858	0.025	0.024	1.000	0.589	0.992	1.000	1.000	1.000	1.000	0.990	0.950	1.000	0.978	0.990	0.845	0.841	0.999	0.996	0.989	1.000	1.000	0.999	1.000	0.985	0.985	1.000	0.981	0.999	0.949	0.397	0.997	0.024	0.277	0.342	0.025	0.965	0.999	0.855	0.025	0.996	1.000	0.996	0.374	0.999	0.185	0.024	0.999	0.999	0.986	0.991	0.798	0.894	0.996	0.981	0.808	0.748	0.973	0.928	1.000	0.973	0.995	1.000	0.993	1.000	0.025	1.000	0.568	0.937	0.999	0.999	0.024	0.996	0.979	0.999	0.097	0.703	0.025	0.999	0.995	0.097	0.998	0.775	0.999	0.158	0.999	1.000	0.998	0.025	0.999	0.024	0.024	0.999	0.024	1.000	1.000	0.814	0.898	0.956	0.926	0.981	0.994	1.000	1.000	0.703	0.519	1.000	0.226	0.330	0.501	0.363	1.000	0.024	0.845	0.526	0.950	1.000	0.982	0.999	0.624	0.999	0.880	0.875	0.791	0.708	0.582	0.977	0.962	0.952	0.806	0.818	0.189	0.214	0.427	0.222	0.177	0.158	0.400	0.999	0.024	0.025	0.342	0.149	0.994	0.446	0.445	0.450	0.025	0.279	0.342	1.000	0.024	0.139	0.342	0.024	0.025	0.999	0.999	0.498
ESE00079	0.209	0.776	0.555	0.502	0.578	0.293	0.800	0.290	0.487	0.480	0.831	0.191	0.483	0.468	0.186	0.132	0.064	0.551	0.506	0.947	0.221	0.240	0.085	0.217	0.019	0.019	0.868	0.988	0.987	0.829	0.987	0.210	0.019	0.210	0.019	0.987	0.019	0.019	0.019	0.019	0.019	0.019	0.211	0.213	0.019	0.019	0.610	0.425	0.344	0.714	0.105	0.527	0.267	0.595	0.691	0.474	0.861	0.822	0.378	0.518	0.222	0.093	0.488	0.695	0.551	0.183	0.132	0.306	0.300	0.977	0.519	0.236	0.285	0.974	0.208	0.019	0.959	0.990	0.019	0.323	0.212	0.210	0.019	0.209	0.072	0.209	0.351	0.209	0.161	0.019	0.237	0.211	0.551	0.519	0.518	0.505	0.291	0.809	0.416	0.336	0.937	0.672	0.584	0.077	0.130	0.619	0.581	0.481	0.019	0.256	0.177	0.258	0.209	0.202	0.019	0.208	0.520	0.209	0.085	0.223	0.019	0.210	0.208	0.085	0.209	0.214	0.210	0.828	0.235	0.210	0.209	0.019	0.211	0.019	0.019	0.209	0.019	0.677	0.839	0.310	0.834	0.242	0.590	0.798	0.641	0.215	0.463	0.915	0.443	0.210	0.410	0.312	0.186	0.348	0.169	0.019	0.467	0.457	0.291	0.990	0.595	0.297	0.340	0.143	0.578	0.534	0.963	0.420	0.173	0.364	0.560	0.240	0.252	0.127	0.991	0.895	0.969	0.901	0.896	0.829	0.979	0.210	0.019	0.019	0.987	0.996	0.211	0.051	0.974	0.049	0.019	0.959	0.990	0.243	0.019	0.996	0.988	0.019	0.019	0.210	0.209	0.151
ESE00086	0.997	0.738	0.968	1.000	0.930	0.823	0.982	0.840	0.316	0.552	0.850	0.143	0.902	0.918	0.748	0.122	0.074	0.231	0.483	0.622	1.000	0.406	1.000	0.999	0.026	0.026	0.604	0.853	0.699	0.136	0.194	1.000	0.025	0.999	0.026	0.321	0.026	0.026	0.026	0.026	0.026	0.026	0.992	0.992	0.026	0.025	0.796	0.531	0.648	1.000	0.118	0.426	1.000	0.984	0.758	0.997	1.000	0.792	0.943	0.819	0.404	0.106	0.506	0.663	0.231	0.967	0.674	0.999	1.000	1.000	0.556	0.999	0.682	0.385	0.996	0.025	0.411	0.322	0.026	0.965	0.999	0.991	0.026	0.996	1.000	0.996	0.282	0.999	0.154	0.025	0.999	0.999	0.564	0.863	0.427	0.741	1.000	1.000	0.616	0.780	0.409	0.585	0.254	0.090	0.118	1.000	0.989	1.000	0.026	1.000	0.913	0.647	0.999	0.999	0.025	0.996	0.555	0.999	1.000	0.474	0.026	0.999	0.995	1.000	0.998	0.999	0.999	0.136	0.999	1.000	0.998	0.026	0.999	0.025	0.025	0.999	0.025	1.000	0.831	0.873	0.878	0.452	0.757	1.000	1.000	1.000	1.000	0.684	0.371	1.000	0.202	0.274	0.772	0.302	0.149	0.025	0.198	0.455	0.953	0.396	0.983	0.839	0.822	1.000	0.895	0.955	0.650	0.580	0.733	1.000	0.969	0.408	0.276	0.153	0.236	0.363	0.413	0.371	0.172	0.137	0.387	0.999	0.025	0.026	0.320	0.147	0.995	0.024	0.435	0.025	0.026	0.411	0.320	0.717	0.025	0.138	0.320	0.025	0.026	0.999	0.999	0.194
ESE00087	0.950	0.634	0.637	0.951	0.910	0.895	0.948	0.191	0.637	0.934	0.816	0.991	0.905	0.501	0.794	0.988	0.999	0.996	1.000	0.731	0.999	0.745	0.117	0.113	1.000	1.000	0.689	0.709	0.493	0.053	0.156	0.952	0.986	0.951	1.000	0.045	1.000	1.000	1.000	1.000	1.000	1.000	0.249	0.246	1.000	0.986	0.544	0.992	0.806	0.962	1.000	0.964	0.973	0.658	0.890	0.986	0.942	0.584	0.908	0.985	0.949	0.999	0.644	1.000	0.996	0.986	0.656	0.874	0.873	0.988	0.635	0.953	0.152	0.065	0.948	0.986	0.461	0.045	1.000	0.922	0.998	0.248	1.000	0.949	0.994	0.949	0.313	0.952	0.295	0.986	0.953	0.952	0.989	0.898	0.998	0.942	0.975	0.944	0.964	0.996	0.935	0.888	1.000	0.976	0.998	1.000	0.670	0.986	1.000	0.999	1.000	0.249	0.951	0.999	0.986	0.949	0.635	0.951	0.117	1.000	1.000	0.951	0.948	0.117	0.951	0.111	0.952	0.053	0.953	0.952	0.950	1.000	0.951	0.986	0.986	0.951	0.986	0.993	0.988	0.911	0.985	0.791	0.967	0.943	0.892	0.999	0.986	0.756	0.570	0.971	0.216	0.390	0.827	0.220	1.000	0.986	0.995	1.000	0.878	0.995	0.804	0.202	0.854	1.000	0.879	0.560	0.793	0.920	0.782	0.939	0.631	0.745	0.806	0.995	0.220	0.395	0.056	0.408	0.150	0.053	0.065	0.951	0.986	1.000	0.045	0.145	0.993	0.331	0.051	0.334	1.000	0.463	0.043	0.153	0.986	0.135	0.045	0.986	1.000	0.951	0.951	0.939
ESE00089	0.949	0.745	0.963	0.987	0.933	0.901	0.998	0.202	0.662	0.997	0.997	0.991	0.905	0.502	0.805	0.989	0.999	0.996	1.000	0.753	0.999	0.746	0.118	0.124	1.000	1.000	0.788	0.843	0.584	0.059	0.184	0.951	0.986	0.950	1.000	0.050	1.000	1.000	1.000	1.000	1.000	1.000	0.252	0.249	1.000	0.986	0.546	0.998	0.808	1.000	1.000	1.000	1.000	0.977	0.897	1.000	1.000	0.791	0.910	1.000	0.948	0.999	0.660	1.000	0.996	0.987	0.667	0.874	0.873	0.996	0.666	0.952	0.160	0.072	0.947	0.986	0.465	0.050	1.000	0.924	0.998	0.251	1.000	0.948	1.000	0.948	0.322	0.951	0.295	0.986	0.952	0.951	0.991	0.901	0.999	0.999	1.000	1.000	0.998	0.999	0.976	0.928	1.000	0.976	0.999	1.000	1.000	1.000	1.000	0.999	0.996	0.261	0.951	0.998	0.986	0.948	0.666	0.950	0.118	1.000	1.000	0.951	0.947	0.118	0.949	0.122	0.951	0.059	0.952	0.951	0.950	1.000	0.950	0.986	0.986	0.950	0.986	0.997	1.000	0.916	0.988	0.795	1.000	1.000	1.000	0.999	1.000	0.786	0.594	1.000	0.220	0.395	0.825	0.225	1.000	0.986	0.995	1.000	0.883	1.000	0.980	0.212	0.858	1.000	0.895	0.560	0.798	0.941	0.790	0.983	0.965	0.746	0.806	0.995	0.241	0.406	0.063	0.421	0.163	0.059	0.072	0.950	0.986	1.000	0.050	0.146	0.994	0.372	0.057	0.377	1.000	0.466	0.049	0.163	0.986	0.136	0.050	0.986	1.000	0.951	0.951	0.999
ESE00090	0.194	0.760	0.243	0.295	0.109	0.024	0.689	0.098	0.100	0.076	0.791	0.022	0.221	0.343	0.084	0.025	0.017	0.046	0.052	0.143	0.201	0.043	0.089	0.091	0.019	0.019	0.965	0.950	0.986	1.000	0.900	0.195	0.018	0.195	0.019	0.877	0.019	0.019	0.019	0.019	0.019	0.019	0.068	0.068	0.019	0.018	0.522	0.042	0.023	0.690	0.026	0.086	0.191	0.272	0.486	0.324	0.702	0.795	0.061	0.170	0.021	0.029	0.386	0.039	0.046	0.028	0.096	0.248	0.242	0.983	0.069	0.189	0.133	0.965	0.193	0.018	0.012	0.879	0.019	0.310	0.204	0.068	0.019	0.194	0.055	0.194	0.107	0.195	0.097	0.018	0.191	0.196	0.527	0.119	0.136	0.342	0.228	0.672	0.261	0.048	0.139	0.202	0.040	0.020	0.023	0.659	0.289	0.311	0.019	0.184	0.037	0.146	0.195	0.195	0.018	0.194	0.069	0.194	0.089	0.033	0.019	0.195	0.193	0.089	0.194	0.087	0.195	0.998	0.189	0.195	0.195	0.019	0.196	0.018	0.018	0.194	0.018	0.481	0.171	0.059	0.736	0.052	0.379	0.659	0.449	0.207	0.311	0.166	0.163	0.198	0.049	0.062	0.034	0.040	0.037	0.018	0.040	0.075	0.069	0.146	0.803	0.109	0.018	0.128	0.409	0.436	0.105	0.072	0.083	0.159	0.254	0.043	0.015	0.034	0.092	0.009	0.887	0.009	0.814	1.000	0.969	0.194	0.018	0.019	0.877	0.111	0.203	0.004	0.808	0.004	0.019	0.012	0.880	0.086	0.018	0.101	0.878	0.018	0.019	0.195	0.195	0.102
ESE00095	0.997	0.992	0.935	0.969	1.000	0.819	0.994	0.788	0.283	0.522	0.997	0.935	1.000	0.578	0.605	0.936	0.999	1.000	0.356	0.650	0.999	0.660	0.091	0.688	0.025	0.025	0.775	0.804	0.564	0.144	0.177	1.000	0.025	0.999	0.025	0.327	0.025	0.025	0.025	0.025	0.025	0.025	0.255	0.253	0.025	0.025	0.919	0.386	0.986	1.000	0.999	0.364	1.000	0.917	0.923	1.000	1.000	0.980	0.982	0.754	0.504	0.996	1.000	0.650	1.000	0.993	0.666	0.911	0.910	0.999	0.999	0.999	0.788	0.389	0.996	0.025	0.337	0.328	0.025	0.965	0.999	0.254	0.025	0.996	1.000	0.996	0.273	0.999	0.156	0.025	0.999	0.999	0.987	0.969	0.356	0.928	0.997	1.000	0.980	0.744	0.973	0.786	1.000	0.968	0.980	1.000	0.948	1.000	0.025	1.000	0.501	1.000	0.999	0.999	0.025	0.996	0.998	0.999	0.091	1.000	0.025	0.999	0.995	0.091	0.998	0.686	0.999	0.144	0.999	1.000	0.998	0.025	0.999	0.025	0.025	0.999	0.025	1.000	0.847	0.853	0.899	0.743	0.948	1.000	0.997	1.000	1.000	0.697	0.356	1.000	0.222	0.228	0.427	0.333	0.999	0.025	0.845	0.416	0.995	1.000	0.651	0.791	0.829	1.000	0.924	0.599	0.667	0.576	0.582	0.978	0.944	0.659	0.208	0.820	0.147	0.289	0.415	0.294	0.157	0.145	0.391	0.999	0.025	0.025	0.325	0.141	0.994	0.545	0.438	0.551	0.025	0.338	0.326	0.825	0.025	0.131	0.325	0.025	0.025	0.999	0.999	0.950
ESE00120-1	0.946	0.998	0.991	0.998	0.990	0.975	0.999	1.000	0.984	0.928	0.994	1.000	1.000	1.000	1.000	1.000	0.999	1.000	1.000	1.000	1.000	1.000	0.102	0.710	0.025	0.025	0.727	0.770	0.480	0.130	0.188	0.948	0.024	0.947	0.025	0.297	0.025	0.025	0.025	0.025	0.025	0.025	1.000	1.000	0.025	0.024	0.865	0.659	0.558	0.904	1.000	0.939	0.961	0.944	0.698	0.996	0.980	0.981	0.855	0.676	0.608	1.000	0.818	0.739	1.000	0.749	0.702	0.920	0.919	0.999	0.653	0.949	0.771	0.338	0.944	0.024	0.326	0.296	0.025	0.955	0.996	0.999	0.025	0.945	1.000	0.945	0.317	0.947	0.280	0.024	0.949	0.948	0.990	0.973	0.811	0.464	0.915	0.981	0.654	0.894	0.972	0.834	1.000	0.978	0.959	0.968	0.963	0.981	0.025	0.997	0.825	0.622	0.947	0.996	0.024	0.945	0.653	0.947	0.102	0.398	0.025	0.947	0.944	0.102	0.947	0.708	0.947	0.130	0.949	0.948	0.946	0.025	0.947	0.024	0.024	0.947	0.024	0.991	0.875	0.859	0.688	0.513	0.511	0.981	0.952	0.997	0.996	0.914	0.521	0.958	0.234	0.368	0.859	0.345	0.963	0.024	0.846	0.923	0.860	1.000	0.790	1.000	0.945	1.000	0.920	1.000	1.000	0.761	0.948	0.998	0.974	1.000	1.000	1.000	0.199	0.258	0.369	0.266	0.163	0.130	0.340	0.947	0.024	0.025	0.295	0.114	0.992	0.017	0.392	0.017	0.025	0.327	0.294	0.812	0.024	0.103	0.295	0.024	0.025	0.947	0.947	0.161
